hiep@hiep-Inspiron-3558:~$ ps aux
USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root      2035  0.0  0.5 563740 23296 ?        Ssl  08:50   0:00 /usr/lib/fwupd/
root      2065  0.0  0.0 110416   648 ?        Ss   08:50   0:00 gpg-agent --hom
hiep      2140  0.0  0.8 863044 32332 tty2     Sl+  08:51   0:00 /usr/lib/deja-d
root      2707  0.0  0.0      0     0 ?        I    09:09   0:00 [kworker/0:2-mm
hiep      2738  1.5  5.3 1961268 211428 tty2   Sl+  09:12   0:43 /usr/lib/firefo
hiep      2769  1.7  3.7 1656984 149864 tty2   Sl+  09:12   0:48 /usr/lib/firefo
root      2917  0.0  0.0      0     0 ?        I    09:17   0:00 [kworker/u8:2-e
hiep      3177  0.3  1.4 762128 55452 tty2     Sl+  09:25   0:06 gedit
root      3194  0.0  0.0      0     0 ?        I    09:28   0:00 [kworker/3:0-ev
hiep      3230  0.0  0.2 447492 11024 ?        Ssl  09:31   0:00 /usr/bin/zeitge
hiep      3236  0.0  0.4 330948 16524 ?        Ssl  09:31   0:00 /usr/lib/zeitge
hiep      3331  0.7  0.9 732448 38076 ?        Ssl  09:32   0:10 /usr/lib/gnome-
hiep      3351  0.0  0.1  31100  5180 pts/0    Ss   09:32   0:00 bash
hiep      3394  0.0  0.1  31100  5116 pts/1    Ss+  09:40   0:00 bash
root      3409  0.0  0.0      0     0 ?        I    09:41   0:00 [kworker/3:1-cg
root      3411  0.0  0.0      0     0 ?        I    09:42   0:00 [kworker/2:2-ev
root      3551  0.0  0.0      0     0 ?        I    09:46   0:00 [kworker/1:1-ev
root      3555  0.0  0.0      0     0 ?        I    09:47   0:00 [kworker/3:2-ev
root      3558  0.0  0.0      0     0 ?        I    09:47   0:00 [kworker/u8:1-e
root      3560  0.0  0.0      0     0 ?        I    09:48   0:00 [kworker/2:1-mm
hiep      3597  0.0  0.2 459596  9604 ?        Sl   09:50   0:00 /usr/lib/gvfs/g
hiep      3628  0.0  0.2 382956  8152 ?        Sl   09:50   0:00 /usr/lib/gvfs/g
hiep      3638  0.3  1.3 856500 52732 ?        Sl   09:50   0:01 /usr/bin/nautil
root      3649  0.0  0.0      0     0 ?        I    09:51   0:00 [kworker/2:3]
root      3652  0.0  0.0      0     0 ?        D    09:51   0:00 [kworker/1:2+ev
root      3653  0.0  0.0      0     0 ?        I    09:52   0:00 [kworker/0:0-ev
hiep      3676  0.0  0.1 206008  6084 ?        Ssl  09:54   0:00 /usr/lib/gvfs/g
root      3721  0.0  0.0      0     0 ?        I    09:57   0:00 [kworker/0:1-ev
hiep      3727  2.0  0.0  48312  3840 pts/0    R+   09:58   0:00 ps aux

hiep@hiep-Inspiron-3558:~$ gnome-calculator
main.go:224: cannot change mount namespace of snap "gnome-calculator" according to change mount (/snap/gtk-common-themes/818/share/icons/Suru /snap/gnome-calculator/260/data-dir/icons/Suru none bind,ro 0 0): cannot use "/snap/gtk-common-themes/818/share/icons/Suru" as bind-mount source: not a directory
Fontconfig warning: "/etc/fonts/conf.avail/53-monospace-lcd-filter.conf", line 10: Having multiple values in <test> isn't supported and may not work as expected

** (gnome-calculator:3730): WARNING **: 09:59:06.950: currency.vala:412: Currency BHD is not provided by IMF or ECB

** (gnome-calculator:3730): WARNING **: 09:59:06.950: currency.vala:412: Currency IRR is not provided by IMF or ECB

** (gnome-calculator:3730): WARNING **: 09:59:06.950: currency.vala:412: Currency KZT is not provided by IMF or ECB

** (gnome-calculator:3730): WARNING **: 09:59:06.950: currency.vala:412: Currency LKR is not provided by IMF or ECB

** (gnome-calculator:3730): WARNING **: 09:59:06.950: currency.vala:412: Currency LYD is not provided by IMF or ECB

** (gnome-calculator:3730): WARNING **: 09:59:06.950: currency.vala:412: Currency NPR is not provided by IMF or ECB

** (gnome-calculator:3730): WARNING **: 09:59:06.950: currency.vala:412: Currency PKR is not provided by IMF or ECB

** (gnome-calculator:3730): WARNING **: 09:59:06.950: currency.vala:412: Currency TND is not provided by IMF or ECB

** (gnome-calculator:3730): WARNING **: 09:59:06.950: currency.vala:412: Currency UYU is not provided by IMF or ECB

** (gnome-calculator:3730): WARNING **: 09:59:06.950: currency.vala:412: Currency VEF is not provided by IMF or ECB

hiep@hiep-Inspiron-3558:~$ gnome-calculator
main.go:224: cannot change mount namespace of snap "gnome-calculator" according to change mount (/snap/gtk-common-themes/818/share/icons/Suru /snap/gnome-calculator/260/data-dir/icons/Suru none bind,ro 0 0): cannot use "/snap/gtk-common-themes/818/share/icons/Suru" as bind-mount source: not a directory
Fontconfig warning: "/etc/fonts/conf.avail/53-monospace-lcd-filter.conf", line 10: Having multiple values in <test> isn't supported and may not work as expected

** (gnome-calculator:3730): WARNING **: 09:59:06.950: currency.vala:412: Currency BHD is not provided by IMF or ECB

** (gnome-calculator:3730): WARNING **: 09:59:06.950: currency.vala:412: Currency IRR is not provided by IMF or ECB

** (gnome-calculator:3730): WARNING **: 09:59:06.950: currency.vala:412: Currency KZT is not provided by IMF or ECB

** (gnome-calculator:3730): WARNING **: 09:59:06.950: currency.vala:412: Currency LKR is not provided by IMF or ECB

** (gnome-calculator:3730): WARNING **: 09:59:06.950: currency.vala:412: Currency LYD is not provided by IMF or ECB

** (gnome-calculator:3730): WARNING **: 09:59:06.950: currency.vala:412: Currency NPR is not provided by IMF or ECB

** (gnome-calculator:3730): WARNING **: 09:59:06.950: currency.vala:412: Currency PKR is not provided by IMF or ECB

** (gnome-calculator:3730): WARNING **: 09:59:06.950: currency.vala:412: Currency TND is not provided by IMF or ECB

** (gnome-calculator:3730): WARNING **: 09:59:06.950: currency.vala:412: Currency UYU is not provided by IMF or ECB

** (gnome-calculator:3730): WARNING **: 09:59:06.950: currency.vala:412: Currency VEF is not provided by IMF or ECB

hiep@hiep-Inspiron-3558:~$ ps aux | grep gnome-calculator
hiep      4383  0.0  0.0  23076  1044 pts/0    S+   10:04   0:00 grep --color=auto gnome-calculator

hiep@hiep-Inspiron-3558:~$ <id>
bash: syntax error near unexpected token `newline'

hiep@hiep-Inspiron-3558:~$ ps aux |grep gnome-calculator
hiep      7326  7.5  0.9 795704 39288 pts/0    Sl+  10:32   0:02 gnome-calculator

hiep@hiep-Inspiron-3558:/proc/7326$ kill -STOP 7326

hiep@hiep-Inspiron-3558:/proc/7326$ kill - CONT 7326

hiep@hiep-Inspiron-3558:/proc/7326$ kill - KILL 7326

